id_transaccion,id_tarjeta,id_usuario,id_dispositivo,direccion_ip,latitud,longitud,canal,timestamp,monto,etiqueta
TXN_L_0668,TRJ_081,USR_239,DEV_022,192.168.216.213,21.4537,-99.6168,remoto,2024-01-03 16:46:47,3100.62,legitima
TXN_L_0278,TRJ_290,USR_033,DEV_005,192.168.35.251,23.2533,-101.0352,remoto,2024-01-03 18:11:26,3720.07,legitima
TXN_C_0028,TRJ_287,USR_119,DEV_037,192.168.95.18,35.0334,-111.2454,presencial,2024-01-03 21:34:06,1216.68,clonacion
TXN_L_0809,TRJ_096,USR_244,DEV_017,192.168.139.129,20.3223,-101.2797,presencial,2024-01-04 05:18:19,4475.79,legitima
TXN_L_0599,TRJ_093,USR_121,DEV_027,192.168.147.181,24.2225,-98.1613,remoto,2024-01-04 20:19:34,3821.55,legitima
TXN_L_0441,TRJ_109,USR_019,DEV_002,192.168.220.18,23.6308,-101.4693,presencial,2024-01-04 23:35:34,4269.11,legitima
TXN_L_0862,TRJ_229,USR_077,DEV_013,192.168.208.125,24.1158,-100.5959,presencial,2024-01-05 09:03:20,1158.91,legitima
TXN_L_0645,TRJ_027,USR_030,DEV_007,192.168.120.104,22.9307,-100.9509,presencial,2024-01-05 11:18:44,2954.91,legitima
TXN_L_0775,TRJ_159,USR_198,DEV_033,192.168.61.242,22.3247,-100.3978,presencial,2024-01-05 21:51:33,3724.58,legitima
TXN_L_0657,TRJ_031,USR_211,DEV_006,192.168.69.222,21.768,-98.5831,remoto,2024-01-06 00:44:55,4821.89,legitima
TXN_L_0770,TRJ_186,USR_079,DEV_015,192.168.222.89,23.2955,-101.5264,presencial,2024-01-06 02:19:08,809.21,legitima
TXN_L_0008,TRJ_277,USR_122,DEV_023,192.168.153.239,24.654,-100.0724,remoto,2024-01-06 07:55:42,1963.5,legitima
TXN_L_0582,TRJ_010,USR_052,DEV_012,192.168.1.86,20.7275,-101.72,remoto,2024-01-06 10:13:45,4946.99,legitima
TXN_L_0369,TRJ_252,USR_025,DEV_006,192.168.32.99,19.836,-99.7729,presencial,2024-01-06 16:21:26,499.36,legitima
TXN_L_0381,TRJ_147,USR_197,DEV_033,192.168.82.139,21.8855,-101.3989,presencial,2024-01-06 18:31:17,543.04,legitima
TXN_P_0017,TRJ_032,USR_FRAUD_017,DEV_027,192.168.153.118,19.3434,-99.7113,remoto,2024-01-06 21:47:51,2603.24,cnp
TXN_L_0564,TRJ_074,USR_146,DEV_020,192.168.22.182,22.0338,-98.9587,remoto,2024-01-07 05:24:23,4141.05,legitima
TXN_L_0385,TRJ_180,USR_031,DEV_008,192.168.27.39,23.9038,-98.2132,remoto,2024-01-07 09:08:15,925.5,legitima
TXN_L_0858,TRJ_171,USR_042,DEV_005,192.168.164.223,21.6867,-98.8049,presencial,2024-01-07 10:54:21,4059.54,legitima
TXN_L_0147,TRJ_217,USR_189,DEV_009,192.168.249.55,19.6499,-99.1084,remoto,2024-01-07 19:50:02,3334.57,legitima
TXN_L_0867,TRJ_142,USR_154,DEV_031,192.168.151.142,23.7277,-100.2235,remoto,2024-01-07 21:54:30,2508.15,legitima
TXN_L_0887,TRJ_083,USR_083,DEV_015,192.168.206.179,20.1272,-98.6095,presencial,2024-01-08 04:27:00,4831.13,legitima
TXN_L_0458,TRJ_023,USR_162,DEV_028,192.168.214.57,19.9057,-100.8984,remoto,2024-01-08 04:30:45,2463.11,legitima
TXN_L_0301,TRJ_004,USR_139,DEV_015,192.168.80.15,19.0854,-99.676,remoto,2024-01-08 04:37:53,1729.46,legitima
TXN_L_0391,TRJ_278,USR_177,DEV_014,192.168.153.130,20.439,-98.3002,remoto,2024-01-08 06:11:32,2331.5,legitima
TXN_L_0855,TRJ_191,USR_187,DEV_004,192.168.133.46,23.3134,-99.5799,remoto,2024-01-08 06:22:54,4241.67,legitima
TXN_L_0576,TRJ_044,USR_164,DEV_010,192.168.15.244,21.5912,-101.2632,remoto,2024-01-08 08:02:33,103.15,legitima
TXN_L_0294,TRJ_109,USR_019,DEV_004,192.168.220.18,23.2884,-101.1813,remoto,2024-01-08 08:19:36,3339.8,legitima
TXN_L_0076,TRJ_280,USR_138,DEV_035,192.168.1.73,19.4253,-98.9251,presencial,2024-01-08 08:33:46,483.23,legitima
TXN_L_0700,TRJ_193,USR_182,DEV_005,192.168.75.168,22.8719,-98.9001,presencial,2024-01-08 14:10:32,3216.1,legitima
TXN_C_0037,TRJ_210,USR_121,DEV_033,192.168.135.34,31.3783,-105.5335,presencial,2024-01-08 14:34:30,5196.24,clonacion
TXN_L_0890,TRJ_073,USR_013,DEV_026,192.168.8.24,19.2228,-100.1382,presencial,2024-01-09 03:31:37,2789.37,legitima
TXN_L_0873,TRJ_024,USR_185,DEV_030,192.168.55.64,24.1952,-101.7044,presencial,2024-01-09 11:44:50,1604.92,legitima
TXN_L_0694,TRJ_196,USR_026,DEV_030,192.168.191.113,23.9379,-99.4195,remoto,2024-01-09 12:10:28,682.77,legitima
TXN_P_0016,TRJ_032,USR_FRAUD_016,DEV_001,192.168.153.118,20.6497,-100.0851,remoto,2024-01-09 12:40:11,2987.64,cnp
TXN_L_0586,TRJ_060,USR_118,DEV_006,192.168.101.109,19.934,-100.5379,presencial,2024-01-09 12:46:13,383.29,legitima
TXN_L_0583,TRJ_081,USR_087,DEV_027,192.168.157.94,22.3883,-100.4053,presencial,2024-01-09 13:06:47,2107.62,legitima
TXN_L_0449,TRJ_260,USR_197,DEV_033,192.168.242.181,22.4426,-101.4227,presencial,2024-01-09 18:55:15,462.29,legitima
TXN_L_0696,TRJ_241,USR_135,DEV_014,192.168.112.176,22.4644,-100.9377,presencial,2024-01-09 19:47:24,4781.22,legitima
TXN_L_0651,TRJ_259,USR_094,DEV_018,192.168.102.183,21.7932,-98.6779,remoto,2024-01-09 23:09:01,4733.76,legitima
TXN_L_0490,TRJ_266,USR_096,DEV_010,192.168.201.152,24.5755,-100.4636,remoto,2024-01-10 10:43:49,4687.26,legitima
TXN_L_0250,TRJ_197,USR_147,DEV_033,192.168.159.103,21.2362,-98.5433,presencial,2024-01-10 20:24:04,693.87,legitima
TXN_L_0670,TRJ_091,USR_044,DEV_037,192.168.199.219,19.5229,-101.4211,presencial,2024-01-10 21:14:30,2142.48,legitima
TXN_L_0689,TRJ_168,USR_183,DEV_001,192.168.56.40,21.224,-98.5351,presencial,2024-01-11 02:56:46,3319.13,legitima
TXN_L_0869,TRJ_159,USR_199,DEV_004,192.168.185.225,24.7117,-101.3218,remoto,2024-01-11 02:59:31,1966.27,legitima
TXN_L_0313,TRJ_252,USR_025,DEV_029,192.168.32.99,19.7249,-99.3888,presencial,2024-01-11 07:19:10,1008.91,legitima
TXN_L_0811,TRJ_166,USR_022,DEV_012,192.168.229.36,23.1909,-99.9886,remoto,2024-01-11 07:43:47,2234.64,legitima
TXN_L_0829,TRJ_213,USR_017,DEV_040,192.168.54.200,23.1001,-101.3856,presencial,2024-01-11 07:53:55,2467.41,legitima
TXN_P_0030,TRJ_240,USR_FRAUD_030,DEV_021,192.168.153.118,23.535,-101.4691,remoto,2024-01-11 08:33:37,1200.0,cnp
TXN_L_0876,TRJ_231,USR_094,DEV_008,192.168.102.183,21.3876,-99.0298,presencial,2024-01-11 11:38:48,1765.85,legitima
TXN_L_0727,TRJ_068,USR_181,DEV_010,192.168.243.166,22.1468,-99.5136,remoto,2024-01-11 12:02:47,3521.94,legitima
TXN_L_0189,TRJ_245,USR_107,DEV_021,192.168.40.22,23.1369,-100.7563,presencial,2024-01-11 12:15:16,1558.68,legitima
TXN_L_0333,TRJ_140,USR_058,DEV_010,192.168.102.210,24.2587,-98.4583,remoto,2024-01-11 13:48:07,363.68,legitima
TXN_P_0020,TRJ_035,USR_FRAUD_020,DEV_021,192.168.208.125,21.5174,-98.6168,remoto,2024-01-11 21:12:09,1385.8,cnp
TXN_L_0166,TRJ_220,USR_064,DEV_037,192.168.135.130,21.7728,-100.4507,remoto,2024-01-12 14:34:20,1809.81,legitima
TXN_L_0503,TRJ_293,USR_153,DEV_011,192.168.158.58,21.9665,-101.7429,remoto,2024-01-12 18:33:55,1625.77,legitima
TXN_L_0475,TRJ_169,USR_003,DEV_035,192.168.128.249,20.2629,-99.351,presencial,2024-01-12 22:27:47,1996.67,legitima
TXN_L_0753,TRJ_181,USR_010,DEV_013,192.168.102.183,24.101,-99.6727,remoto,2024-01-13 02:48:22,4685.48,legitima
TXN_L_0094,TRJ_139,USR_145,DEV_018,192.168.53.241,24.9683,-101.1561,remoto,2024-01-13 04:57:15,1358.57,legitima
TXN_L_0305,TRJ_070,USR_214,DEV_011,192.168.252.113,21.0915,-99.7707,presencial,2024-01-13 06:06:51,4032.04,legitima
TXN_L_0569,TRJ_240,USR_080,DEV_040,192.168.32.99,20.6534,-98.4453,remoto,2024-01-13 10:07:19,4131.68,legitima
TXN_L_0888,TRJ_115,USR_123,DEV_002,192.168.174.48,21.7939,-98.3113,remoto,2024-01-13 10:27:51,2230.18,legitima
TXN_L_0004,TRJ_046,USR_234,DEV_022,192.168.79.237,23.3929,-100.2673,remoto,2024-01-13 17:47:50,1590.06,legitima
TXN_L_0658,TRJ_220,USR_064,DEV_037,192.168.9.29,21.8027,-100.909,remoto,2024-01-13 19:23:34,1680.32,legitima
TXN_L_0695,TRJ_090,USR_108,DEV_012,192.168.175.53,24.9755,-98.1979,remoto,2024-01-14 03:32:40,2439.96,legitima
TXN_L_0866,TRJ_172,USR_210,DEV_025,192.168.183.54,21.9407,-101.4321,presencial,2024-01-14 17:46:47,4752.04,legitima
TXN_L_0745,TRJ_091,USR_044,DEV_030,192.168.207.186,19.5167,-101.658,presencial,2024-01-14 19:30:29,936.97,legitima
TXN_L_0193,TRJ_043,USR_144,DEV_028,192.168.247.89,24.4206,-101.0166,remoto,2024-01-14 21:53:06,1367.97,legitima
TXN_L_0318,TRJ_213,USR_059,DEV_026,192.168.55.153,25.1814,-100.1671,presencial,2024-01-15 06:40:23,2381.4,legitima
TXN_C_0004,TRJ_186,USR_018,DEV_023,192.168.232.19,11.279,-107.5035,presencial,2024-01-15 08:34:42,7330.06,clonacion
TXN_L_0863,TRJ_028,USR_241,DEV_001,192.168.126.216,23.8447,-99.6276,remoto,2024-01-15 12:29:11,2695.4,legitima
TXN_L_0874,TRJ_235,USR_155,DEV_009,192.168.15.24,20.6597,-99.6113,remoto,2024-01-15 19:56:48,1288.48,legitima
TXN_L_0574,TRJ_231,USR_075,DEV_024,192.168.205.232,22.545,-100.4878,presencial,2024-01-15 20:40:21,3789.21,legitima
TXN_L_0142,TRJ_215,USR_223,DEV_034,192.168.47.98,24.866,-98.7711,remoto,2024-01-16 08:41:17,851.9,legitima
TXN_L_0211,TRJ_289,USR_158,DEV_038,192.168.150.213,24.8048,-100.3959,presencial,2024-01-16 10:22:56,3456.3,legitima
TXN_L_0797,TRJ_210,USR_121,DEV_027,192.168.147.181,24.4188,-98.5759,remoto,2024-01-16 11:44:31,2804.43,legitima
TXN_L_0577,TRJ_027,USR_030,DEV_023,192.168.120.104,23.0938,-101.1352,remoto,2024-01-17 00:42:16,2764.72,legitima
TXN_L_0348,TRJ_179,USR_165,DEV_029,192.168.112.70,21.055,-98.5187,presencial,2024-01-17 05:33:19,2715.14,legitima
TXN_L_0675,TRJ_113,USR_228,DEV_034,192.168.57.7,24.3763,-101.5533,remoto,2024-01-17 10:56:04,2669.03,legitima
TXN_L_0299,TRJ_076,USR_099,DEV_037,192.168.141.12,19.2901,-100.388,remoto,2024-01-17 11:29:16,4431.81,legitima
TXN_L_0692,TRJ_150,USR_208,DEV_016,192.168.0.169,24.7509,-99.0983,remoto,2024-01-17 22:31:36,4441.61,legitima
TXN_L_0629,TRJ_046,USR_234,DEV_022,192.168.209.84,23.437,-100.8472,remoto,2024-01-18 00:37:12,601.34,legitima
TXN_L_0205,TRJ_212,USR_100,DEV_027,192.168.24.221,21.8649,-99.899,remoto,2024-01-18 01:09:15,3662.95,legitima
TXN_L_0509,TRJ_200,USR_150,DEV_024,192.168.216.9,24.3528,-100.1904,presencial,2024-01-18 10:06:09,2006.76,legitima
TXN_L_0220,TRJ_213,USR_116,DEV_035,192.168.191.196,22.1113,-99.53,presencial,2024-01-18 12:16:03,1287.91,legitima
TXN_P_0027,TRJ_287,USR_FRAUD_027,DEV_010,192.168.236.47,21.778,-101.535,remoto,2024-01-18 14:02:53,629.25,cnp
TXN_L_0744,TRJ_212,USR_128,DEV_018,192.168.33.103,22.0131,-101.4788,presencial,2024-01-19 06:36:10,2301.3,legitima
TXN_L_0074,TRJ_152,USR_115,DEV_015,192.168.47.238,21.6857,-100.0436,presencial,2024-01-19 15:11:21,878.6,legitima
TXN_L_0641,TRJ_221,USR_027,DEV_015,192.168.101.109,21.9017,-101.6854,remoto,2024-01-19 15:36:53,1810.14,legitima
TXN_L_0853,TRJ_068,USR_151,DEV_012,192.168.147.181,21.0587,-102.3189,remoto,2024-01-19 17:54:39,3343.04,legitima
TXN_L_0611,TRJ_028,USR_239,DEV_022,192.168.216.213,21.011,-100.0823,remoto,2024-01-19 19:27:00,395.72,legitima
TXN_L_0638,TRJ_109,USR_019,DEV_004,192.168.98.49,23.8988,-101.4539,remoto,2024-01-19 21:32:31,697.96,legitima
TXN_L_0389,TRJ_232,USR_215,DEV_017,192.168.248.209,20.2246,-99.1802,remoto,2024-01-19 21:41:02,2169.33,legitima
TXN_L_0484,TRJ_062,USR_189,DEV_031,192.168.249.55,19.3809,-98.702,presencial,2024-01-20 00:39:23,775.44,legitima
TXN_L_0138,TRJ_109,USR_133,DEV_008,192.168.20.231,21.1997,-100.9867,remoto,2024-01-20 05:15:21,3468.19,legitima
TXN_L_0370,TRJ_090,USR_217,DEV_026,192.168.209.84,21.6391,-98.4645,remoto,2024-01-20 05:51:57,4106.95,legitima
TXN_L_0114,TRJ_062,USR_189,DEV_005,192.168.249.55,19.7593,-98.8243,presencial,2024-01-20 11:19:56,1111.57,legitima
TXN_L_0779,TRJ_165,USR_047,DEV_031,192.168.232.19,19.6158,-98.5284,presencial,2024-01-20 13:09:51,2480.63,legitima
TXN_L_0293,TRJ_161,USR_028,DEV_031,192.168.35.251,23.7369,-101.498,remoto,2024-01-21 01:21:10,222.56,legitima
TXN_L_0766,TRJ_151,USR_237,DEV_021,192.168.150.112,21.3264,-98.8052,presencial,2024-01-21 03:09:42,2507.2,legitima
TXN_L_0315,TRJ_084,USR_054,DEV_040,192.168.30.157,19.1129,-100.2679,remoto,2024-01-21 06:38:15,3715.06,legitima
TXN_L_0674,TRJ_124,USR_125,DEV_005,192.168.119.222,21.2335,-99.3476,remoto,2024-01-21 19:25:14,75.51,legitima
TXN_L_0856,TRJ_109,USR_019,DEV_039,192.168.98.49,23.8179,-100.8723,remoto,2024-01-21 21:44:11,3508.69,legitima
TXN_L_0231,TRJ_179,USR_178,DEV_029,192.168.222.89,20.2837,-99.0273,remoto,2024-01-22 05:23:07,2878.27,legitima
TXN_L_0827,TRJ_195,USR_134,DEV_023,192.168.154.218,22.017,-100.0514,presencial,2024-01-22 09:31:31,4848.88,legitima
TXN_L_0155,TRJ_256,USR_137,DEV_022,192.168.51.19,23.1155,-100.9801,remoto,2024-01-22 10:17:52,3202.62,legitima
TXN_L_0678,TRJ_004,USR_113,DEV_016,192.168.120.173,20.6799,-99.168,presencial,2024-01-22 11:44:21,988.36,legitima
TXN_L_0813,TRJ_040,USR_046,DEV_006,192.168.63.120,21.7152,-99.1128,remoto,2024-01-22 13:41:00,1136.92,legitima
TXN_L_0730,TRJ_197,USR_192,DEV_028,192.168.153.130,20.5821,-101.8095,remoto,2024-01-22 14:32:24,821.64,legitima
TXN_L_0720,TRJ_081,USR_239,DEV_022,192.168.216.213,21.2938,-99.8822,presencial,2024-01-22 23:22:57,2910.32,legitima
TXN_L_0878,TRJ_137,USR_032,DEV_012,192.168.26.244,20.688,-101.513,presencial,2024-01-23 04:23:26,155.38,legitima
TXN_L_0752,TRJ_213,USR_017,DEV_040,192.168.40.219,23.5889,-101.1432,remoto,2024-01-23 04:47:59,1427.96,legitima
TXN_L_0248,TRJ_280,USR_071,DEV_021,192.168.201.152,23.1197,-100.9788,remoto,2024-01-23 05:25:26,125.52,legitima
TXN_L_0071,TRJ_022,USR_085,DEV_006,192.168.43.73,22.7208,-98.5265,remoto,2024-01-23 06:38:34,3361.25,legitima
TXN_L_0433,TRJ_213,USR_059,DEV_026,192.168.143.226,24.9404,-100.8034,presencial,2024-01-23 12:42:40,4976.25,legitima
TXN_L_0781,TRJ_229,USR_163,DEV_026,192.168.10.160,24.6977,-100.5102,presencial,2024-01-23 18:13:29,4880.78,legitima
TXN_L_0726,TRJ_299,USR_219,DEV_002,192.168.38.242,24.1544,-100.4744,presencial,2024-01-23 18:21:30,4812.16,legitima
TXN_L_0312,TRJ_212,USR_128,DEV_018,192.168.33.103,22.198,-102.2588,remoto,2024-01-23 19:37:34,4933.69,legitima
TXN_C_0038,TRJ_118,USR_125,DEV_020,192.168.243.157,11.2427,-88.876,presencial,2024-01-23 20:30:40,4418.6,clonacion
TXN_L_0489,TRJ_235,USR_155,DEV_009,192.168.15.24,20.6517,-99.4545,presencial,2024-01-23 20:43:06,1888.76,legitima
TXN_L_0870,TRJ_154,USR_097,DEV_033,192.168.110.246,21.3915,-99.2602,remoto,2024-01-23 21:53:06,4490.88,legitima
TXN_L_0810,TRJ_259,USR_048,DEV_003,192.168.1.73,22.1151,-101.3372,presencial,2024-01-23 23:26:24,4638.29,legitima
TXN_L_0357,TRJ_065,USR_074,DEV_016,192.168.21.89,24.6895,-101.7013,presencial,2024-01-24 04:13:58,3835.36,legitima
TXN_L_0802,TRJ_150,USR_208,DEV_016,192.168.0.169,25.1657,-98.5137,remoto,2024-01-24 06:46:52,675.13,legitima
TXN_L_0160,TRJ_109,USR_019,DEV_002,192.168.220.18,23.4446,-100.8715,presencial,2024-01-24 16:22:55,4874.26,legitima
TXN_L_0481,TRJ_164,USR_078,DEV_005,192.168.20.159,23.4799,-97.983,presencial,2024-01-25 01:00:37,286.28,legitima
TXN_L_0746,TRJ_159,USR_198,DEV_033,192.168.61.242,22.6563,-100.006,remoto,2024-01-25 01:43:28,4859.82,legitima
TXN_L_0650,TRJ_110,USR_168,DEV_018,192.168.32.87,23.8533,-99.5358,presencial,2024-01-25 05:13:26,2555.43,legitima
TXN_L_0732,TRJ_070,USR_067,DEV_030,192.168.132.193,20.1407,-99.1448,presencial,2024-01-25 07:09:49,3728.52,legitima
TXN_L_0366,TRJ_218,USR_008,DEV_020,192.168.30.59,20.0887,-99.5373,presencial,2024-01-25 08:08:46,1088.71,legitima
TXN_C_0002,TRJ_210,USR_121,DEV_003,192.168.127.31,39.1693,-113.3245,presencial,2024-01-25 14:03:25,679.49,clonacion
TXN_L_0861,TRJ_043,USR_144,DEV_028,192.168.247.89,24.4598,-100.9679,presencial,2024-01-25 16:45:34,3922.82,legitima
TXN_C_0003,TRJ_041,USR_019,DEV_038,192.168.100.94,40.664,-84.2371,presencial,2024-01-25 18:28:26,5839.88,clonacion
TXN_L_0649,TRJ_165,USR_047,DEV_031,192.168.232.19,19.6703,-98.1328,presencial,2024-01-26 00:19:33,2896.65,legitima
TXN_C_0023,TRJ_181,USR_010,DEV_036,192.168.49.92,16.7398,-91.734,presencial,2024-01-26 02:54:13,7627.09,clonacion
TXN_L_0487,TRJ_126,USR_126,DEV_029,192.168.127.69,23.2059,-99.2316,presencial,2024-01-26 02:58:43,4841.76,legitima
TXN_L_0852,TRJ_001,USR_235,DEV_025,192.168.37.3,24.724,-99.9323,remoto,2024-01-26 03:09:00,3503.96,legitima
TXN_L_0429,TRJ_233,USR_034,DEV_024,192.168.165.126,24.0841,-101.3743,presencial,2024-01-26 14:47:22,493.76,legitima
TXN_L_0710,TRJ_191,USR_187,DEV_011,192.168.133.46,22.8229,-99.617,presencial,2024-01-26 15:59:56,1279.3,legitima
TXN_L_0191,TRJ_193,USR_101,DEV_030,192.168.159.28,22.4101,-101.4203,presencial,2024-01-26 16:02:44,1714.03,legitima
TXN_L_0653,TRJ_079,USR_054,DEV_040,192.168.30.157,19.0254,-100.8238,presencial,2024-01-27 01:27:16,3030.61,legitima
TXN_L_0592,TRJ_179,USR_165,DEV_029,192.168.195.153,21.183,-98.6709,presencial,2024-01-27 01:43:46,1426.73,legitima
TXN_L_0148,TRJ_016,USR_221,DEV_012,192.168.135.130,20.6203,-99.8819,remoto,2024-01-27 05:40:51,4849.23,legitima
TXN_L_0269,TRJ_151,USR_005,DEV_024,192.168.169.160,22.3293,-99.3084,remoto,2024-01-27 15:29:34,3229.1,legitima
TXN_L_0835,TRJ_074,USR_146,DEV_005,192.168.22.182,22.2885,-98.2635,presencial,2024-01-27 21:58:07,2656.53,legitima
TXN_L_0865,TRJ_110,USR_168,DEV_018,192.168.32.87,23.6511,-100.0678,presencial,2024-01-28 01:07:55,1060.95,legitima
TXN_L_0052,TRJ_229,USR_163,DEV_026,192.168.10.160,25.1683,-100.4781,remoto,2024-01-28 06:32:26,4118.1,legitima
TXN_L_0377,TRJ_028,USR_173,DEV_001,192.168.226.142,23.7979,-98.1243,presencial,2024-01-28 20:08:28,2004.32,legitima
TXN_L_0632,TRJ_007,USR_204,DEV_003,192.168.249.55,24.167,-101.7264,presencial,2024-01-29 02:21:16,4089.93,legitima
TXN_L_0227,TRJ_225,USR_159,DEV_027,192.168.194.1,20.1682,-99.7661,presencial,2024-01-29 05:29:37,4276.45,legitima
TXN_L_0706,TRJ_048,USR_220,DEV_003,192.168.51.19,24.4962,-100.0604,presencial,2024-01-29 19:17:14,4515.73,legitima
TXN_L_0642,TRJ_042,USR_122,DEV_023,192.168.153.239,24.6124,-100.4139,presencial,2024-01-29 20:22:42,3153.51,legitima
TXN_L_0446,TRJ_059,USR_040,DEV_021,192.168.157.153,23.8036,-98.3773,presencial,2024-01-29 20:33:23,4921.72,legitima
TXN_L_0493,TRJ_070,USR_214,DEV_010,192.168.3.242,21.4434,-99.8915,presencial,2024-01-29 22:18:33,4338.41,legitima
TXN_L_0240,TRJ_024,USR_145,DEV_018,192.168.53.241,24.3098,-100.575,presencial,2024-01-29 23:48:40,1438.28,legitima
TXN_L_0336,TRJ_275,USR_246,DEV_016,192.168.8.24,24.1147,-99.4923,presencial,2024-01-30 05:22:18,4381.22,legitima
TXN_L_0759,TRJ_289,USR_158,DEV_038,192.168.150.213,24.8658,-99.8621,remoto,2024-01-30 05:24:36,4487.68,legitima
TXN_L_0591,TRJ_254,USR_194,DEV_016,192.168.58.175,23.9358,-102.0647,presencial,2024-01-30 10:50:10,1909.95,legitima
TXN_L_0156,TRJ_225,USR_159,DEV_027,192.168.194.1,20.6327,-99.3725,remoto,2024-01-30 13:04:01,295.68,legitima
TXN_L_0743,TRJ_096,USR_111,DEV_037,192.168.224.214,22.4307,-98.9973,remoto,2024-01-30 14:14:31,2856.16,legitima
TXN_P_0002,TRJ_032,USR_FRAUD_002,DEV_010,192.168.137.148,22.9562,-101.6901,remoto,2024-01-30 14:20:13,398.63,cnp
TXN_L_0635,TRJ_115,USR_123,DEV_002,192.168.174.48,22.0038,-98.2863,remoto,2024-01-30 15:38:38,4148.03,legitima
TXN_L_0382,TRJ_189,USR_014,DEV_024,192.168.128.7,19.3106,-98.0378,remoto,2024-01-30 15:48:15,1548.63,legitima
TXN_L_0842,TRJ_145,USR_240,DEV_007,192.168.243.166,22.542,-98.9102,remoto,2024-01-30 17:08:04,3038.76,legitima
TXN_L_0562,TRJ_155,USR_193,DEV_034,192.168.123.177,20.6166,-102.2112,remoto,2024-01-30 20:15:11,4887.35,legitima
TXN_L_0681,TRJ_029,USR_226,DEV_037,192.168.13.238,19.7245,-99.2176,remoto,2024-01-31 04:52:41,1753.4,legitima
TXN_L_0128,TRJ_072,USR_061,DEV_040,192.168.47.98,20.2713,-98.9279,remoto,2024-01-31 06:59:31,3905.75,legitima
TXN_L_0417,TRJ_078,USR_001,DEV_003,192.168.231.31,19.7139,-98.526,presencial,2024-01-31 15:30:21,1285.54,legitima
TXN_L_0162,TRJ_159,USR_198,DEV_033,192.168.61.242,22.1938,-100.2736,presencial,2024-01-31 19:10:58,3164.36,legitima
TXN_L_0894,TRJ_188,USR_093,DEV_026,192.168.226.142,21.5331,-100.9585,remoto,2024-02-01 03:06:42,1873.09,legitima
TXN_L_0083,TRJ_091,USR_232,DEV_026,192.168.54.191,22.5356,-98.1843,presencial,2024-02-01 06:06:06,960.76,legitima
TXN_L_0228,TRJ_161,USR_171,DEV_016,192.168.48.25,21.6185,-101.8409,remoto,2024-02-01 07:52:35,3376.85,legitima
TXN_L_0808,TRJ_055,USR_250,DEV_019,192.168.86.169,21.5506,-100.3388,presencial,2024-02-01 21:12:37,3447.02,legitima
TXN_L_0788,TRJ_125,USR_099,DEV_037,192.168.141.12,19.1741,-100.8587,presencial,2024-02-02 11:26:13,4452.78,legitima
TXN_L_0307,TRJ_228,USR_055,DEV_019,192.168.238.107,24.6454,-99.2042,presencial,2024-02-02 15:10:25,3496.66,legitima
TXN_L_0624,TRJ_197,USR_147,DEV_023,192.168.159.103,21.6206,-99.0173,presencial,2024-02-02 15:10:58,4487.22,legitima
TXN_L_0087,TRJ_289,USR_158,DEV_038,192.168.150.213,24.7771,-100.2756,presencial,2024-02-02 17:55:01,73.92,legitima
TXN_L_0199,TRJ_004,USR_037,DEV_020,192.168.205.232,23.6598,-100.6949,remoto,2024-02-03 01:44:49,347.54,legitima
TXN_L_0103,TRJ_213,USR_164,DEV_010,192.168.15.244,22.1349,-101.4278,remoto,2024-02-03 02:53:55,1135.85,legitima
